movie_id,averageRating,numVotes,runtimeMinutes,startYear,isAdult,genres,genre_count,has_director,has_writer,writer_count,director_count,box_office,embedding_std,embedding_range,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32,embed_33,embed_34,embed_35,embed_36,embed_37,embed_38,embed_39,embed_40,embed_41,embed_42,embed_43,embed_44,embed_45,embed_46,embed_47,embed_48,embed_49,scaled_embed_0,scaled_embed_1,scaled_embed_2,scaled_embed_3,scaled_embed_4,scaled_embed_5,scaled_embed_6,scaled_embed_7,scaled_embed_8,scaled_embed_9,scaled_embed_10,scaled_embed_11,scaled_embed_12,scaled_embed_13,scaled_embed_14,scaled_embed_15,scaled_embed_16,scaled_embed_17,scaled_embed_18,scaled_embed_19,scaled_embed_20,scaled_embed_21,scaled_embed_22,scaled_embed_23,scaled_embed_24,scaled_embed_25,scaled_embed_26,scaled_embed_27,scaled_embed_28,scaled_embed_29,scaled_embed_30,scaled_embed_31,scaled_embed_32,scaled_embed_33,scaled_embed_34,scaled_embed_35,scaled_embed_36,scaled_embed_37,scaled_embed_38,scaled_embed_39,scaled_embed_40,scaled_embed_41,scaled_embed_42,scaled_embed_43,scaled_embed_44,scaled_embed_45,scaled_embed_46,scaled_embed_47,scaled_embed_48,scaled_embed_49,vader_avg_compound,vader_std_compound,vader_positive_ratio,vader_negative_ratio,vader_neutral_ratio,review_count,avg_review_length,embedding_predicted_trend
tt0104348,7.7,121093,100,1992.0,0,"Crime,Drama,Mystery",3,1,1,1,1,10726612.0,0.035122592,0.13745373,-0.03845706,-0.03292759,-0.023327027,-0.032726083,-0.03528307,0.03822713,0.03932005,0.015011942,0.02236245,-0.04677809,-0.041449897,0.034047715,-0.0002686276,0.016228393,-0.051153302,0.012276146,0.081812784,-0.027024735,-0.0020214873,0.025895959,0.04770992,0.0042869616,-0.0071558417,0.013635127,-0.033764057,-0.053542446,-0.0004112784,0.0024533067,-0.09827946,-0.03273347,0.008780561,0.029144462,-0.017436016,0.0044476716,0.023895586,0.025565293,0.027685195,0.024601083,-0.01484603,-0.018530447,0.011828415,-0.03976456,0.0083123045,0.012114767,0.029121393,-0.08509825,0.0111091975,-0.047214158,0.03656346,-0.029866006,-0.6225520293557824,-0.5330396990256152,-0.37762346658791235,-0.5297776329595307,-0.5711707498499288,0.6188298896740402,0.6365223706398351,0.2430168962873952,0.36200867421085103,-0.7572548780056766,-0.6710008144706819,0.5511725335818587,-0.004348607606057921,0.26270909032939954,-0.828081851238421,0.1987291721798585,1.324404853419015,-0.4374828492864835,-0.03272431894320258,0.41920995430654556,0.7723395514787611,0.06939835691106096,-0.11584047115798192,0.2207286845536847,-0.5465806020848548,-0.8667578863679777,-0.006657872687310258,0.03971471358273272,-1.5909713495357958,-0.5298972195344225,0.1421418210952794,0.47179750232690876,-0.28225838957099747,0.07199996797383174,0.3868274415953978,0.4138570529682549,0.44817454038539223,0.3982482007211113,-0.24033106805274526,-0.29997529442122556,0.19148120355662457,-0.6437181897468625,0.1345615670319781,0.19611673621028333,0.4714240581186298,-1.3775907866079933,0.17983833784728706,-0.7643140439716526,0.5918980039918599,-0.48347802906298354,0.5675300000000001,0.5907818709980867,0.85,0.15,0.0,20,1863.55,5207539.696851511
tt0107146,6.6,2252,102,1993.0,0,"Comedy,Crime,Drama",3,1,1,1,1,602329.0,0.03490802,0.13517831,-0.0116274245,0.026536226,-0.022217661,-0.036704548,0.021853138,0.031022847,-0.016245663,0.0024401192,0.014004856,-0.021835186,-0.009160509,0.0150962,0.011736744,0.025287801,-0.043386277,-0.01978028,0.054833673,-0.018492047,0.01722629,0.03647058,-0.023563175,-0.030296877,0.07731507,0.001762035,-0.061477084,-0.1007341,0.029614538,-0.018837627,-0.084709905,-0.0188887,-0.009082459,0.045072645,-0.03831566,-0.042752266,-0.045951985,0.011573945,0.032847308,-0.017460821,-0.00055924663,0.023172785,0.020416463,-0.039812308,-0.010163481,0.008803639,0.028432708,-0.021049881,-0.017041204,-0.012252158,0.0089154225,-0.06300414,-0.15474428539864207,0.3531589793410039,-0.295685092966031,-0.48848470279481454,0.2908338114064122,0.4128694398308813,-0.2162063951182963,0.03247447409973265,0.18638448145886072,-0.29059489380888326,-0.12191319493057044,0.20090869073744264,0.15619917160509275,0.33654424108404385,-0.5774089005239392,-0.26324705888169236,0.7297572673049879,-0.24610252742133035,0.2292571263458388,0.48537094066308506,-0.31359193963278537,-0.40320782834799124,1.0289523022163722,0.02345014921769575,-0.8181715031316054,-1.3406258857462348,0.39412687735529806,-0.2507017035683253,-1.1273669177234136,-0.25138142140649117,-0.12087445617883205,0.5998520333247263,-0.5099263053221668,-0.5689711281975135,-0.6115547814522035,0.15403255240409428,0.43715038886383256,-0.23237839958278214,-0.007442767790441704,0.3083964114787607,0.27171373532917215,-0.5298445168930402,-0.13526130890959204,0.11716375949560898,0.37839842472444835,-0.28014362471349225,-0.22679390525083393,-0.1630585830878722,0.11865144171591425,-0.8384944715537397,0.550015,0.6819600906761334,0.8,0.2,0.0,20,1082.8,-1223613.7682824582
tt0366548,6.4,205970,108,2006.0,0,"Adventure,Animation,Comedy",3,1,1,4,3,384336179.0,0.032445356,0.12656932,-0.046044476,-0.0018691825,0.021870833,-0.004579836,0.02112271,0.024439866,-0.012899634,-0.016313002,0.025979305,-0.05480308,-0.028116558,0.011076222,-0.046253614,0.0112793315,-0.0072174864,0.018065246,0.04516598,-0.008930283,0.040623676,0.039656263,-0.010232812,-0.001456827,0.039950497,0.027207162,-0.06670044,0.006649905,-0.021433588,0.0051821447,-0.029659504,0.014248607,0.025432128,0.050928075,0.036242727,0.0039085327,0.015669212,0.04448091,0.015702277,-0.046462424,-0.052696787,0.0038749285,0.055868734,0.0005337931,0.014860271,-0.04657662,0.017539237,-0.013775488,-0.013294454,-0.0696114,-0.0063338415,-0.027611185,-0.9101624619046454,-0.03694818222536792,0.43232137041863505,-0.09052974807801924,0.4175332195569545,0.48310351486538133,-0.25498743746664493,-0.3224595608833112,0.5135336482522322,-1.0832940445406267,-0.5557807897704069,0.21894399601939435,-0.9142964946418873,0.22295886419523536,-0.14266825695742555,0.3570962235380383,0.892797167994842,-0.17652514928506258,0.803009349558611,0.7838864658131736,-0.20227227925322994,-0.028797141210282488,0.789702609519721,0.53780474296565,-1.318469549850175,0.13144885735262635,-0.4236783406638159,0.10243560035785526,-0.5862802532574023,0.28165261136312003,0.5027176003452999,1.006696691870181,0.7164110102807012,0.0772600755262883,0.3097337503824351,0.8792553757205178,0.31038736054587934,-0.9184240472423126,-1.0416588709430588,0.07659582008126985,1.104358833831376,0.010551503685191367,0.2937433868654605,-0.9206813439919993,0.3466985862832792,-0.2723004668638859,-0.2627918417881175,-1.3760105138154708,-0.12520122305865536,-0.5457910697644535,0.8895000000000002,0.280557138565391,0.95,0.05,0.0,20,1913.15,2616009.31528385
tt0120357,5.6,3030,96,1997.0,0,"Comedy,Drama,Romance",3,1,1,2,1,387069.0,0.033987854,0.13135554,-0.045704685,-0.018226454,-0.0053380798,0.003154973,0.008626121,0.025722584,0.037403755,0.022348842,0.07018818,-0.072705224,-0.018683817,0.029028365,0.0134118,0.014376121,-0.021771671,0.0060297595,0.032366235,0.0048220046,0.03777374,0.061825465,-0.026140207,0.018530626,0.03760426,-0.0023219236,-0.026217643,-0.06727196,0.029116232,-0.082727715,-0.10142734,-0.0053596846,0.03389813,0.07153247,-0.09607665,-0.05172967,-0.016632799,0.05148058,0.033698123,0.04030153,-0.023503685,0.008035518,0.0112128565,-0.042444237,0.00083118427,-0.011780433,0.022655152,-0.07637427,0.021032004,-0.03949542,-0.0139510585,-0.060399104,-0.5880529709740736,-0.23450813433531603,-0.06868166037599388,0.040593021475268776,0.11098678662473986,0.33095604419092217,0.48125020696857496,0.28754826092474384,0.903066445186272,-0.9354516485279816,-0.24039273433956376,0.3734894235158475,0.17256106308776567,0.18496835557386443,-0.28012217827221075,0.07758106190413482,0.41643565589936976,0.06204165095357883,0.4860105630631554,0.795468746720121,-0.33632934100801226,0.23842171866932266,0.48382999337048604,-0.029874707089311996,-0.33732565726766567,-0.8655453469197613,0.37461994637723905,-1.064404636979207,-1.3050007422513332,-0.06895963579984396,0.4361455729471348,0.9203626085708477,-1.2361568776195868,-0.6655726213751809,-0.2140035943779383,0.6623677197947453,0.4335722092897355,0.5185340471355844,-0.30240689690525085,0.10338787702427207,0.14426865782431228,-0.5461028631264879,0.010694316717767636,-0.15157130635144317,0.29148935761210676,-0.9826589165512246,0.2706053484883145,-0.5081623212986164,-0.17949935267390985,-0.7771166649654414,0.7153,0.5508526218508903,0.85,0.15,0.0,20,1187.4,1777401.8621783927
tt3614922,5.5,1400,118,2015.0,0,"Action,Crime,Drama",3,1,1,4,2,37938005.0,0.03610953,0.12689906,-0.036642544,0.029243298,-0.009537567,0.007112635,0.00092432834,0.034184046,-0.011941756,0.0007524811,0.02240819,-0.021970293,0.03100429,-0.008769477,0.00547146,0.014041403,-0.025035698,-0.008982485,0.05519646,-0.04739258,-0.0073346747,-0.029173652,-0.0061410344,-0.04149712,0.040792856,0.007996062,-0.05348204,-0.0019965293,0.044636253,0.001387838,-0.09520353,-0.023221467,0.012425344,0.04828185,-0.047421478,-0.013669259,0.036903452,0.03010852,0.014358735,0.010386547,-0.0217824,-0.020325767,0.010904973,-0.027816435,0.06769849,0.015443607,0.021343602,-0.04173431,-0.013797854,-0.10063979,-0.003329864,-0.032267913,-0.6394660356840376,0.5103383590651435,-0.16644451351956033,0.12412589049593244,0.016130882753104682,0.596561648491639,-0.20840112663175203,0.01313189694131648,0.391055707239547,-0.3834137687818126,0.5410702351079327,-0.15304020812217517,0.09548498799237516,0.24504304384838566,-0.43690958089199755,-0.1567575160847331,0.963259038525125,-0.8270699135374745,-0.12800081136693095,-0.5091229315303142,-0.10717004089501862,-0.7241854728607581,0.7118950628673408,0.13954298465337422,-0.9333399071174975,-0.03484235893373982,0.7789679654050353,0.024219805568117404,-1.661440908825716,-0.40524858914681927,0.21684045069412733,0.8425889380228653,-0.8275742098327151,-0.23854857937351454,0.6440192649775487,0.5254377650849379,0.25058094140123843,0.18126045197182578,-0.3801347701685537,-0.3547143881916795,0.19030774984869328,-0.48543751864343426,1.1814378215041335,0.2695135551154898,0.37247709886262437,-0.7283248372302649,-0.24079275314733914,-1.7563116737472653,-0.058111001683170314,-0.5631223248062762,-0.002153846153846156,0.8028558081243812,0.46153846153846156,0.5384615384615384,0.0,13,1099.076923076923,-3438372.7461788356
tt4714568,7.1,13606,83,2016.0,0,"Adventure,Comedy,Crime",3,1,1,3,1,14862.0,0.03610182,0.13995221,-0.022424316,-0.027587395,-0.025675204,-0.048515823,0.025391545,0.032963306,-0.0030884817,-0.005499767,0.008816007,-0.06586124,0.022043781,-0.014329982,-0.014082899,0.04889507,-0.0529403,0.011512815,0.048265286,-0.08332944,0.028776363,-0.01055057,0.0073132203,0.029065793,0.06352452,0.030124202,-0.05595707,-0.010704054,0.034480207,-0.0040869196,-0.08510659,0.009939425,0.03246484,0.03350165,-0.023325022,-0.012128879,-0.023508295,0.004815785,0.018710876,0.0011248483,0.009993279,0.025685579,-0.0077094883,-0.055262327,0.010706939,0.025483822,0.05572155,-0.040138077,0.0075995536,-0.059406407,0.03951674,-0.056254547,-0.21542211122358926,-0.26502190300428047,-0.24665218632833946,-0.46607356703058594,0.24392718397772023,0.3166662875538622,-0.02966990174931287,-0.05283422899763037,0.08469211502623966,-0.6327045762995628,0.21176645529385868,-0.13766283749630728,-0.13528920563225255,0.4697168404900849,-0.5085778991749427,0.11059935626202874,0.4636667512199351,-0.8005151053268141,0.2764438728932538,-0.1013554217311831,0.0702554028247866,0.27922432795376856,0.6102565892691373,0.2893920717069862,-0.5375588918145501,-0.1028298840571272,0.33123859406716133,-0.03926152512907829,-0.8175875256273356,0.09548437725458432,0.3118777071729135,0.3218379729747797,-0.22407486332272042,-0.116517658114179,-0.22583550028221053,0.046263467590488064,0.17974846499877953,0.010806001267975728,0.09600173904910164,0.2467518544774579,-0.07406220272912509,-0.5308847403597226,0.10285760146520341,0.24481365790509485,0.5352963353608459,-0.3855916618736467,0.07300610059051069,-0.5706953842039013,0.3796227028347542,-0.5404166299515536,0.91751,0.14586136877185818,1.0,0.0,0.0,20,769.4,-3729304.017172888
tt1460738,6.8,1690,80,2009.0,0,"Action,Animation,Comedy",3,1,1,1,1,505349.0,0.029880961,0.07715306,-0.0647341,-0.016628386,0.046328545,0.012584424,0.03239838,0.046389192,-0.009849873,0.02942568,0.061688848,-0.028841801,-0.004594869,0.007899344,-0.0337846,0.019395113,-0.031253655,-0.014192224,0.031013954,-0.05673804,-0.0056259236,-0.020438116,0.046547934,-0.034668755,0.029222948,0.016608676,0.039257392,-0.0013098335,0.002835407,0.011477608,-0.055034425,0.003236494,-0.022493675,0.048826285,-0.012416567,-0.0141776,-0.008635467,0.05878511,0.03449186,0.030314257,-0.027308306,-0.061079107,-0.00763315,0.0074950913,-0.016323831,0.015069969,0.034107894,-0.038844146,-0.01640568,-0.10179896,0.031031068,-0.058492772,-0.8501533755127921,-0.21838070799266773,0.6084330793241014,0.16527131801796777,0.4254881407985024,0.6092295663069184,-0.12935845138046378,0.3864476561809137,0.8101600419715337,-0.37877956092508813,-0.0603444443578806,0.10374213596634327,-0.4436933967974592,0.25471614571078205,-0.4104544489978315,-0.18638656464926265,0.40730646629375433,-0.7451410678604603,-0.07388529181031354,-0.26841391161754624,0.6113143269526062,-0.4553049832549421,0.3837851733892434,0.2181218497232522,0.5155675895538235,-0.017202051778784314,0.037237417640532004,0.15073550396795027,-0.722767464752412,0.04250489721620616,-0.2954095854390253,0.6412359162536535,-0.16306685193461362,-0.18619451245939483,-0.11340964349307014,0.7720252432891973,0.45298181468128945,0.3981173401993361,-0.35864015762052964,-0.8021523144899885,-0.1002462100275657,0.09843308299916735,-0.21438097835202094,0.1979140013763742,0.4479391910130494,-0.5101404211874911,-0.21545589330899098,-1.336926395061402,0.4075312243526647,-0.7681859607652672,0.782025,0.17483259671754575,1.0,0.0,0.0,4,1796.75,-1798075.765894957
tt0104139,5.3,8026,95,1992.0,0,"Comedy,Drama,Horror",3,1,1,2,1,8403433.0,0.034427654,0.13414341,-0.049434263,-0.012165544,-0.019629624,-0.031180505,-0.020242322,-0.007398232,0.027842175,0.038698144,0.016524766,-0.05755455,-0.003727268,0.005376856,-0.011489158,0.049678482,-0.067958035,-0.0011630049,0.07122784,-0.02881988,0.025790583,0.018426899,-0.002373016,0.05337719,0.061567366,0.0041002817,-0.046093363,-0.024213191,0.040023927,-0.021754416,-0.07734297,-0.025638167,0.040354796,0.026151877,-0.015131475,-0.05071426,-0.00076753413,-0.0331992,0.009685954,0.018667135,-0.021586876,0.053990882,-0.0031623733,-0.011986889,0.02104265,0.020935424,0.011544087,-0.08523207,-0.01124273,-0.044362016,0.053742636,-0.045110293,-0.7881873574736447,-0.19396926440236284,-0.3129776847980064,-0.4971466750260763,-0.32274664211969495,-0.11795852625313635,0.44391984552005426,0.6170090550596675,0.2634733584431054,-0.9176584428264077,-0.059428123164751434,0.08572940140748618,-0.1831848629609468,0.7920812197897992,-1.0835331642334483,-0.01854312568816958,1.1356674528446253,-0.4595085105261697,0.4112089549248071,0.29380125780745237,-0.037835724986144785,0.8510539567159313,0.9816393815124361,0.0653755112461057,-0.734919544319833,-0.38605877519106885,0.6381475296407082,-0.34685568870809835,-1.2331680261089502,-0.4087788028006534,0.6434229566635111,0.416969473906303,-0.24125852853826715,-0.8085958479513015,-0.01223768010712255,-0.5293330343262068,0.15443431431633037,0.29763162516782843,-0.3441844161227821,0.8608387729274167,-0.050421357747916305,-0.19112076723865185,0.33550719784196004,0.3337975560649258,0.1840606656952345,-1.358953018420875,-0.17925577846632956,-0.7073146816698582,0.8568807028963917,-0.7192453185243828,0.58932,0.5919685976468684,0.8,0.15,0.05,20,976.15,-1221544.1087385342
tt0070155,6.9,7270,120,1972.0,0,"Crime,Drama,Music",3,1,1,2,1,15327.0,0.032063037,0.12621917,-0.03400258,-0.019958742,-0.060703468,-0.027923599,0.008053449,0.046887945,0.00948097,0.036898848,0.0074266396,-0.049068246,0.0019153701,0.017810524,-0.0112740975,-0.016983537,2.9805862e-05,0.01328971,0.07498915,0.015984239,0.01622252,-0.020168649,-0.008276099,-0.022563796,0.042105902,0.03278814,-0.055735506,-0.016934205,0.021532986,0.04403758,-0.028925842,-0.023626763,0.011055132,0.050707668,-0.0065478557,-0.008929183,-0.013570547,0.029659394,0.012583716,0.0009973141,-0.084567234,0.0061489204,0.026754117,-0.012862174,-0.00901003,0.005665834,0.039304502,-0.099147275,-0.03136725,-0.033969205,0.03709367,-0.061940026,-0.327697703170775,-0.1923511082916317,-0.5850258141226392,-0.26911191111670774,0.07761460317688434,0.4518795962615934,0.09137224614611394,0.35561030134443156,0.07157376710352718,-0.4728921053560637,0.01845925784949931,0.17164778936293376,-0.10865339863133143,-0.16367775941922538,0.000287252103718639,0.12807873213987453,0.7227031470848961,0.15404708891319505,0.15634350444655504,-0.19437407434779652,-0.07976038185027694,-0.21745715588020287,0.4057929566776429,0.3159936059980373,-0.5371474010130036,-0.16320232389086495,0.20752278825245074,0.42440938559637237,-0.27877096235033244,-0.2277014317187013,0.10654313625746165,0.4886919310600728,-0.0631045433183836,-0.08605443199590786,-0.13078528598677863,0.2858405279944895,0.12127476235601038,0.009611551436654297,-0.8150113469033977,0.05925982984665337,0.257841100232361,-0.12395838364155973,-0.08683359157267664,0.05460411599134185,0.3787946451692858,-0.9555255678508884,-0.3022998780070492,-0.32737605492470506,0.35748788124450076,-0.5969430629458868,0.695835,0.5751340463535436,0.85,0.1,0.05,20,1239.85,-534745.5704349503
tt0499570,4.8,4950,96,2007.0,0,"Comedy,Drama,Fantasy",3,1,1,1,1,27769.0,0.033582903,0.13011055,-0.04275441,-0.0399826,0.010650519,0.002895081,0.023208117,0.03291234,-0.0011378865,0.019356336,0.07865805,-0.09565176,-0.03380656,0.03491354,-0.0055028237,0.04089479,-0.07467235,0.0011326754,0.052874796,-0.022818258,-0.015157856,-0.0078061237,0.034169942,-0.014069209,0.025927603,0.020015059,-0.059580266,-0.020006232,0.013869713,-0.021391118,-0.087305225,-0.0071462644,0.031055013,0.022911567,-0.057677,-0.041069575,0.011620138,0.058126967,0.017967563,0.030023878,0.018827613,-0.004395573,0.023642747,-0.03835853,0.04008118,0.014031975,0.041831866,-0.04291882,0.0016926205,-0.07397629,-0.0042535723,-0.024821088,-0.4374508092731116,-0.4090904137802837,0.10897304147002759,0.029621633283160632,0.23745876061712204,0.33674957046804405,-0.011642526945897465,0.19804845175258004,0.8048064993714392,-0.9786812276033927,-0.34589895812470073,0.3572252703657377,-0.05630330538740804,0.418423711599594,-0.7640259359178164,0.011589208483391877,0.5409996634857827,-0.23346983495038134,-0.15509081125019336,-0.07987000625847818,0.34961699269797425,-0.14395208737506307,0.2652837583690766,0.2047883113497076,-0.6096081024565996,-0.20469799526050392,0.14191090373715953,-0.21886774919664487,-0.8932818860725424,-0.0731185164875932,0.3177459332515448,0.23442454786210484,-0.5901344366036728,-0.4202120425864088,0.11889389890743222,0.5947383654775463,0.18383892367038127,0.30719566472276216,0.19263871049556466,-0.04497423449393128,0.24190576552422977,-0.39247339684968574,0.4100990800257349,0.14357111699667496,0.42801158682333196,-0.4391329869328817,0.017318404313418148,-0.7569040958657597,-0.04352132515091995,-0.25396221064002544,0.30847,0.7428878758601462,0.6,0.4,0.0,20,1381.1,-3465935.8032860607
